"coverageCellId","entityKey","metricFamily","fiscalPeriod","sourceClass","coverageState","bestTrustState","stableRecordId","freshnessState","limitation"
"28fde12ead361ebd2fc822b68e322471","entity:company:amazon","revenue","FY2025","sec_edgar_metadata","pending_review","source_attributed_unverified","baseline-record:amazon:revenue:fy2025","current_for_release",""
"b792e68058993614746e3c63990d76d9","entity:company:amazon","revenue","FY2026","official_company_ir_metadata","pending_review","","","unknown","Source-attributed conflicted record excluded from headline totals."
"67d422c386a306ddbc6553f1d5a2b9c4","entity:company:amazon","revenue","FY2026","sec_edgar_metadata","pending_review","","","unknown","Source-attributed conflicted record excluded from headline totals."
"84fe57ebb01ea2b4cb02724ef74fbfad","entity:company:meta","ai_specific_disclosure","FY2025","official_company_ir_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"c4d269bc6701f241fec84e630762ec31","entity:company:meta","ai_specific_disclosure","FY2025","sec_edgar_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"ffb8948265a937f173e991605e89f7e7","entity:company:meta","ai_specific_disclosure","FY2026","official_company_ir_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"6a08f11a0845bf72ae639359500a1f88","entity:company:meta","ai_specific_disclosure","FY2026","sec_edgar_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"83e1f4e3d02ed4e3c0243516fb2dc51f","entity:company:meta","capital_expenditure","FY2025","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"0d816e3da8f645270aedada826bdd826","entity:company:meta","capital_expenditure","FY2025","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"8533cce08b418307f5e4c48c0d7b8184","entity:company:meta","capital_expenditure","FY2026","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"5ac1c53ec07f6ed052c7ecfb73acfebc","entity:company:meta","capital_expenditure","FY2026","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"1ac0ba7427ecf4ba065cff7a97b79f68","entity:company:meta","revenue","FY2025","official_company_ir_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata."
"1fbba499639964fb503a7bf144d06f1f","entity:company:meta","revenue","FY2025","sec_edgar_metadata","covered","human_verified","baseline-record:meta:revenue:fy2025","current_for_release",""
"633469697d21a1ed842974fcaeab7db9","entity:company:meta","revenue","FY2026","official_company_ir_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata."
"607d97d6ea6d5dfee629d2aedd8500a2","entity:company:meta","revenue","FY2026","sec_edgar_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata."
"c5c0b173d84d2dd6d3d33b6828997776","entity:company:microsoft","ai_specific_disclosure","FY2025","official_company_ir_metadata","pending_review","","","unknown","AI-specific run-rate claims remain review-controlled and are not in verified outputs."
"3c1ed6bb47ca3fe2db59058dcc5b0ca4","entity:company:microsoft","ai_specific_disclosure","FY2025","sec_edgar_metadata","pending_review","","","unknown","AI-specific run-rate claims remain review-controlled and are not in verified outputs."
"c379e3ca0b39931581bf8d40910fe074","entity:company:microsoft","ai_specific_disclosure","FY2026","official_company_ir_metadata","pending_review","","","unknown","AI-specific run-rate claims remain review-controlled and are not in verified outputs."
"46b877455f66b82417ccbc1beb2a4aa0","entity:company:microsoft","ai_specific_disclosure","FY2026","sec_edgar_metadata","pending_review","","","unknown","AI-specific run-rate claims remain review-controlled and are not in verified outputs."
"69cb2a0503efa07c7b44a038cdd01b9a","entity:company:microsoft","capital_expenditure","FY2025","official_company_ir_metadata","unknown","","","unknown","FY capex human-reviewed from SEC structured source metadata."
"45a5a34396d0b6375637cca0f39fc83f","entity:company:microsoft","capital_expenditure","FY2025","sec_edgar_metadata","covered","human_verified","baseline-record:microsoft:capex:fy2025","current_for_release",""
"cdc055c7f43919348fd471b222be902e","entity:company:microsoft","capital_expenditure","FY2026","official_company_ir_metadata","unknown","","","unknown","FY capex human-reviewed from SEC structured source metadata."
"4c4a3c7f641aab4d76165b5baebb363c","entity:company:microsoft","capital_expenditure","FY2026","sec_edgar_metadata","unknown","","","unknown","FY capex human-reviewed from SEC structured source metadata."
"63574c595f8d08528ebb8185188e8ee4","entity:company:microsoft","revenue","FY2025","official_company_ir_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata; quarterly history remains not yet collected in this release."
"9d135e6f912a0f2ae3b0f4ddf50a665e","entity:company:microsoft","revenue","FY2025","sec_edgar_metadata","covered","human_verified","baseline-record:microsoft:revenue:fy2025","current_for_release",""
"d96029ab955cda6f0bae43baef9e7c69","entity:company:microsoft","revenue","FY2026","official_company_ir_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata; quarterly history remains not yet collected in this release."
"13aa4139d5914f8abde973dbc9ffaccd","entity:company:microsoft","revenue","FY2026","sec_edgar_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata; quarterly history remains not yet collected in this release."
"668e4adb68c1d107afa2a4530c5954b9","entity:company:nvidia","ai_specific_disclosure","FY2025","official_company_ir_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"12b6c5a4075c8fc2df8736609b7c4449","entity:company:nvidia","ai_specific_disclosure","FY2025","sec_edgar_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"a9f8c80ce66657ed2faff84158349775","entity:company:nvidia","ai_specific_disclosure","FY2026","official_company_ir_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"b620a56288da0e47699e4f9cbbccb0ad","entity:company:nvidia","ai_specific_disclosure","FY2026","sec_edgar_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"39250cf7256cb4cece98307d0c76b601","entity:company:nvidia","capital_expenditure","FY2025","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"1cfe86c97ab4a990ddd546e1f0316f85","entity:company:nvidia","capital_expenditure","FY2025","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"d094df49c0d41bf11f411f3d91a666d9","entity:company:nvidia","capital_expenditure","FY2026","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"5c68f80f5dbcb4badc0199b8309825aa","entity:company:nvidia","capital_expenditure","FY2026","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"029742b49c0d5b42fcfe6847d346bc2b","entity:company:nvidia","revenue","FY2025","official_company_ir_metadata","unknown","","","unknown","Source-attributed only; not human verified."
"c448fca89a14350e9e4adaf92b3a4c25","entity:company:nvidia","revenue","FY2025","sec_edgar_metadata","unknown","","","unknown","Source-attributed only; not human verified."
"bb1604a65072bcab2024ecf0899e83f0","entity:company:nvidia","revenue","FY2026","official_company_ir_metadata","unknown","","","unknown","Source-attributed only; not human verified."
"d8166685fe28a365197cbe5caec6d194","entity:company:nvidia","revenue","FY2026","sec_edgar_metadata","pending_review","source_attributed_unverified","baseline-record:nvidia:revenue:fy2026","current_for_release",""
